run,n_folds,time,low_rmse_os,avg_rmse_os,up_rmse_os,low_rmse_pfs,avg_rmse_pfs,up_rmse_pfs,low_f1_recurrency,avg_f1_recurrency,up_f1_recurrency,low_f1_mgmt,avg_f1_mgmt,up_f1_mgmt,sum_reg_avg,sum_clf_avg,sum_reg_ci_relative_width,sum_clf_ci_relative_width
naive_early_fusion_nn,30,269.9432969093323,0.2723740134667437,0.3086919419039319,0.4270822685154987,0.2677056015593632,0.2902794416570554,0.3249593845376129,0.4848399940446617,0.5193453568192283,0.5630977699613734,0.4598728028292165,0.4927367386238939,0.5254964812506829,0.5989713835609873,1.0120820954431222,0.6984103925620353,0.2838674538093605
naive_early_fusion_nn_with_refinement,30,1760.882292509079,0.2911422903616185,0.3100421969206329,0.3315979757207073,0.2896886884619423,0.3080166312371025,0.3302853096037098,0.3624979333523174,0.4259386297345596,0.4842477737985255,0.3373793107739997,0.3953779092490387,0.4496319531139279,0.6180588281577355,0.8213165389835984,0.2622845440307035,0.5697512025747602
pca_early_fusion_nn,30,151.10030388832092,0.2524951781334567,0.2682871556015494,0.2830583598257145,0.2493105917728033,0.2676829967360136,0.2867622662082963,0.5088482116064643,0.5424502965042883,0.5792808022634091,0.4778796772608786,0.5054092992496712,0.5311750698048736,0.5359701523375631,1.0478595957539594,0.2538302073100555,0.2352915204585767
pca_early_fusion_nn_with_refinement,30,179.48998093605042,0.2475678976130879,0.265217036066079,0.2822313424453352,0.250416539245607,0.268636869964112,0.28720151572981,0.5121037115587469,0.5485080640568878,0.5853665986957665,0.4754199551639689,0.513834062515435,0.5494943589420652,0.533853906030191,1.0623421265723227,0.2676303821507324,0.2777277322205452
umap_early_fusion_nn,30,150.2178030014038,0.3529262421370782,0.377763879002081,0.4133558761455264,0.3812666999928922,0.4084235859870852,0.4401978463338243,0.4382611100541034,0.4860184634477009,0.5261604058251879,0.3898696407051117,0.4321952595691434,0.4675683080096705,0.7861874649891663,0.9182137230168445,0.3042559641177368,0.3606326465831881
umap_early_fusion_nn_with_refinement,30,181.06473207473755,0.461377759275879,0.5418652728065971,0.6714282650466151,0.531154695680816,0.6292968848709515,0.8123464171129003,0.3914454521064255,0.4449261611047062,0.4932222099952569,0.3615769355136179,0.4094715290330068,0.454353981529861,1.1711621576775486,0.854397690137713,0.8344781750244776,0.455327297954702
naive_early_fusion_gbt,30,165.80108857154846,0.8286939375546362,0.8669064431715054,0.9030949993928106,0.8185038902798987,0.8827881133639668,0.9547813461560848,0.4774367086488235,0.5172331667904363,0.5562429825478359,0.4159004338966567,0.4529561698840679,0.4921561586333642,1.7496945565354722,0.9701893366745042,0.2401952826100958,0.3207124373794325
random_baseline,30,0.2165694236755371,1.326314019447661,1.38383258895843,1.4461549913076326,1.2734336106170725,1.3408207367604073,1.4127952444932252,0.4890726189451407,0.5310866745158985,0.5732303754581839,0.3548757878680455,0.3917667399689528,0.4264957640191968,2.724653325718837,0.9228534144848513,0.1905383315493191,0.3412761216099214
pca_early_fusion_gbt,30,4.7454164028167725,1.004404645103982,1.0725471828451931,1.1400975518788428,0.9252037951451112,0.991822998934524,1.055345000290648,0.4272251039445573,0.467861278344063,0.5052102515549246,0.4100262943944403,0.4499388828260017,0.4880293297206621,2.064370181779717,0.9178001611700648,0.2577287703328788,0.3400479623752918
umap_early_fusion_gbt,30,4.286462783813477,0.940417137369814,1.0132458775986477,1.0826643491864207,0.9024848710299463,0.9581319533068128,1.0108254491124296,0.4803397841419686,0.5144101523103038,0.5465167278335731,0.4324300493576011,0.4669356099245024,0.49975080060848,1.9713778309054608,0.9813457622348064,0.2534624531824764,0.2728219261374092
old_onlyFoundation_mme_with_refinement_ClinicalLinkageModule_E150_lr1e-04_CosineAnnealingLR_etamin5e-06_mod5,30,366.67046332359314,1.0595878950499475,1.090460298458735,1.1246623907942568,1.054497921509694,1.09312228957812,1.1393335553797874,0.5028590328601927,0.5239874685255844,0.5418018650076514,0.4252932023676878,0.445532412888377,0.4621600659451102,2.183582588036855,0.9695198814139614,0.1372847196362573,0.1570680414384464
